age,work_industry,job_title,annual_salary,currency,country,state_(US),city,overall_work_exp.,fieldwork _exp.,level_of_education,gender,race
45-54,Computing/IT/Tech,Talent and Leadership Development Manager,98000.0,USD,USA,Texas,Dallas,21 - 30 years,11 - 20 years,Master's degree,Woman,White
35-44,Accounting/Banking/Finance,Director of Operations ,86000.0,USD,USA,California,San Francisco,21 - 30 years,8 - 10 years,College degree,Woman,White
45-54,Computing/IT/Tech,Operations Manager,96600.0,USD,USA,New York,Long Island,21 - 30 years,11 - 20 years,College degree,Woman,White
35-44,Art/Design/Media,Art Director,74000.0,USD,USA,Oregon,Portland,11 - 20 years,8 - 10 years,College degree,Woman,"Hispanic, Latino, or Spanish origin"
35-44,Government/Public Administration,Assistant Program Director,71000.0,USD,USA,Mississippi,Vicksburg,11 - 20 years,8 - 10 years,Master's degree,Woman,White
45-54,Engineering/Manufacturing/Construction,Landscape Architect ,56000.0,USD,USA,Virginia,Charlottesville ,21 - 30 years,21 - 30 years,Master's degree,Woman,White
35-44,Computing/IT/Tech,Senior Salesforce Analyst,97072.0,USD,USA,California,Los Angeles,8 - 10 years,2 - 4 years,Master's degree,Woman,Asian or Asian American
25-34,Engineering/Manufacturing/Construction,Quality Control Supervisor,55786.0,USD,USA,Pennsylvania,Lancaster,5 - 7 years,5 - 7 years,College degree,Woman,White
45-54,Accounting/Banking/Finance,Corporate communications partner,107000.0,USD,USA,Alabama,Birmingham,21 - 30 years,21 - 30 years,College degree,Woman,White
25-34,Education,Senior Content Specialist,68000.0,USD,USA,Illinois,Chicago,11 - 20 years,11 - 20 years,Master's degree,Woman,White
25-34,Engineering/Manufacturing/Construction,Software Engineer,122000.0,USD,USA,District of Columbia,"Washington, DC",5 - 7 years,5 - 7 years,College degree,Man,White
35-44,Computing/IT/Tech,Senior software engineer,205000.0,USD,USA,Washington,Seattle,11 - 20 years,11 - 20 years,College degree,Man,White
25-34,Nonprofits,Political Analyst,100000.0,USD,USA,District of Columbia,"Washington, DC",8 - 10 years,8 - 10 years,College degree,Man,White
25-34,Law,Paralegal,46000.0,USD,USA,Utah,Salt Lake City,8 - 10 years,2 - 4 years,College degree,Woman,"Hispanic, Latino, or Spanish origin"
35-44,Insurance,Claims Examiner III,38000.0,USD,USA,Nebraska,"Omaha, NE",21 - 30 years,2 - 4 years,College degree,Woman,White
35-44,Computing/IT/Tech,Leader of business intelligence,160500.0,USD,USA,Michigan,Ann Arbor,21 - 30 years,11 - 20 years,Master's degree,Man,White
25-34,Engineering/Manufacturing/Construction,Senior Quality Control Chemist,114240.0,USD,USA,Delaware,Newark,5 - 7 years,5 - 7 years,PhD,Woman,White
35-44,Others/Not Correctly Specified,Health researcher,94000.0,USD,USA,Alaska,Anchorage,11 - 20 years,8 - 10 years,Master's degree,Woman,White
45-54,Leisure/Sport/Tourism,Travel Director/scuba instructor ,45000.0,USD,USA,Massachusetts,Boston,21 - 30 years,8 - 10 years,College degree,Woman,White
35-44,Nonprofits,Development Director,70000.0,USD,USA,Wisconsin,Milwaukee,11 - 20 years,11 - 20 years,College degree,Man,White
35-44,Education,Assistant Professor,89000.0,USD,USA,Massachusetts,Boston,5 - 7 years,5 - 7 years,PhD,Woman,White
25-34,Nonprofits,Program Director,72000.0,USD,USA,Minnesota,Minneapolis,11 - 20 years,11 - 20 years,College degree,Woman,White
25-34,Others/Not Correctly Specified,Senior Researcher,97000.0,USD,USA,Ohio,Cincinnati,8 - 10 years,5 - 7 years,PhD,Woman,White
35-44,Engineering/Manufacturing/Construction,Control systems engineer ,111000.0,USD,USA,Utah,Salt Lake City,11 - 20 years,11 - 20 years,College degree,Other or prefer not to answer,White
35-44,Accounting/Banking/Finance,Controller,94000.0,USD,USA,Wisconsin,Madison,11 - 20 years,5 - 7 years,Master's degree,Woman,White
25-34,Biotechnology/Pharma/Biology,Principal Research Associate,100000.0,USD,USA,Massachusetts,Boston,8 - 10 years,8 - 10 years,Master's degree,Man,White
35-44,Accounting/Banking/Finance,Director ,200000.0,USD,USA,Texas,Dallas,11 - 20 years,11 - 20 years,Master's degree,Woman,White
35-44,Medical/Health Care,Staff Therapist,55300.0,USD,USA,Louisiana,New Orleans,11 - 20 years,8 - 10 years,Master's degree,Woman,Asian or Asian American
25-34,Business/Consulting/Administrative Work,HR Manager,70000.0,USD,USA,Wisconsin,Milwaukee,8 - 10 years,5 - 7 years,Master's degree,Woman,White
35-44,Nonprofits,Associate Director,90000.0,USD,USA,Oregon,Portland,11 - 20 years,8 - 10 years,Master's degree,Woman,White
25-34,Government/Public Administration,Senior Advisor,134000.0,USD,USA,District of Columbia,"Washington, DC",11 - 20 years,11 - 20 years,Master's degree,Woman,White
35-44,Medical/Health Care,Project Manager,95000.0,USD,USA,California,Los Angeles,21 - 30 years,8 - 10 years,PhD,Woman,White
45-54,Computing/IT/Tech,trade spend analyst,52000.0,USD,USA,Washington,Seattle,8 - 10 years,5 - 7 years,College degree,Woman,White
45-54,Education,Legal Assistant - Office of General Counsel,71000.0,USD,USA,New York,New York City,11 - 20 years,8 - 10 years,Master's degree,Woman,White
35-44,Education,Systems Librarian,76000.0,USD,USA,New York,New York City,11 - 20 years,11 - 20 years,Master's degree,Woman,White
35-44,Education,Scheduling Supervisor,35000.0,USD,USA,Indiana,Bloomington,11 - 20 years,2 - 4 years,Master's degree,Woman,White
25-34,Computing/IT/Tech,Qa Manager,117000.0,USD,USA,California,Los Angeles,8 - 10 years,8 - 10 years,College degree,Woman,White
45-54,Computing/IT/Tech,Senior Product Manager,160000.0,USD,USA,Massachusetts,Boston,21 - 30 years,11 - 20 years,College degree,Woman,White
25-34,Computing/IT/Tech,Marketing Analyst/Project Manager,105000.0,USD,USA,New York,New York City,2 - 4 years,2 - 4 years,College degree,Woman,White
35-44,Others/Not Correctly Specified,FSO,100000.0,USD,USA,Virginia,Tysons,11 - 20 years,11 - 20 years,College degree,Woman,White
35-44,Computing/IT/Tech,Technical writer,54000.0,USD,USA,Utah,Lehi,11 - 20 years,5 - 7 years,College degree,Woman,White
25-34,Accounting/Banking/Finance,internal communications senior associate,110000.0,USD,USA,New York,New York City,8 - 10 years,8 - 10 years,College degree,Woman,White
35-44,Business/Consulting/Administrative Work,Director of Communications,120000.0,USD,USA,California,San Diego,11 - 20 years,11 - 20 years,College degree,Woman,White
35-44,Nonprofits,Director ,172000.0,USD,USA,Massachusetts,Boston,11 - 20 years,11 - 20 years,College degree,Woman,"Hispanic, Latino, or Spanish origin"
35-44,Medical/Health Care,Medical Laboratory Scientist ,62000.0,USD,USA,Michigan,Saginaw,11 - 20 years,11 - 20 years,College degree,Other or prefer not to answer,Another option not listed here or prefer not to answer
25-34,Nonprofits,Archivist,52000.0,USD,USA,New York,Suburban NYC Metro Area,8 - 10 years,5 - 7 years,Master's degree,Woman,White
45-54,Law,Compensation & Benefits Manager,112000.0,USD,USA,Tennessee,Nashville,21 - 30 years,21 - 30 years,College degree,Woman,White
35-44,Accounting/Banking/Finance,Accountant,90000.0,USD,USA,Arizona,Tucson,21 - 30 years,8 - 10 years,College degree,Woman,White
25-34,Education,"Assistant Director, Marketing & Communications",58000.0,USD,USA,Louisiana,New Orleans,8 - 10 years,8 - 10 years,Master's degree,Woman,White
45-54,Education,Secondary English Teacher,61734.0,USD,USA,Pennsylvania,Williamsburg,21 - 30 years,21 - 30 years,Master's degree,Woman,Another option not listed here or prefer not to answer
35-44,Art/Design/Media,Graphic Designer,60000.0,USD,USA,More than one State,Kent,11 - 20 years,2 - 4 years,Master's degree,Woman,White
35-44,Law,"Manager, Attorney Development",155000.0,USD,USA,New York,New York City,21 - 30 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Woman,White
35-44,Hospitality/Events/Entertainment,Catering Director,75000.0,USD,USA,Maine,Portland,11 - 20 years,8 - 10 years,College degree,Woman,White
25-34,Others/Not Correctly Specified,Field and Project Manager,55000.0,USD,USA,Illinois,Chicago,2 - 4 years,2 - 4 years,College degree,Woman,White
25-34,Computing/IT/Tech,People Operations (HR) ,138000.0,USD,USA,New York,NYC ,5 - 7 years,5 - 7 years,College degree,Woman,White
35-44,Nonprofits,"Manager, Meetings & Technology",60000.0,USD,USA,Georgia,Atlanta,5 - 7 years,2 - 4 years,College degree,Woman,White
35-44,Accounting/Banking/Finance,Tax Preparer Self-employed ,65000.0,USD,USA,More than one State,New York City,11 - 20 years,11 - 20 years,College degree,Woman,White
25-34,Engineering/Manufacturing/Construction,Process Manager,92500.0,USD,USA,Massachusetts,"Peabody, MA",8 - 10 years,8 - 10 years,College degree,Woman,White
45-54,Engineering/Manufacturing/Construction,Technical Specialist,149500.0,USD,USA,Michigan,Northville,31 - 40 years,21 - 30 years,College degree,Woman,White
25-34,Computing/IT/Tech,Sr Executive Administrator,70700.0,USD,USA,Colorado,Denver,11 - 20 years,8 - 10 years,College degree,Woman,White
25-34,Engineering/Manufacturing/Construction,Project Manager,49500.0,USD,USA,Illinois,Chicago,5 - 7 years,2 - 4 years,College degree,Woman,White
35-44,Accounting/Banking/Finance,Assistant Branch Manager,43875.0,USD,USA,Massachusetts,Worcester area,11 - 20 years,8 - 10 years,College degree,Woman,White
25-34,Others/Not Correctly Specified,Channel Marketing Specialist,68500.0,USD,USA,Texas,Austin,2 - 4 years,2 - 4 years,College degree,Woman,White
45-54,Nonprofits,research director,83500.0,USD,USA,Massachusetts,Northampton,21 - 30 years,11 - 20 years,PhD,Other or prefer not to answer,White
45-54,Education,Sr. Operations Manager,71000.0,USD,USA,Florida,West Palm Beach,21 - 30 years,11 - 20 years,College degree,Woman,White
45-54,Accounting/Banking/Finance,Consultant,64000.0,USD,USA,South Dakota,Sioux Falls,21 - 30 years,8 - 10 years,College degree,Woman,White
25-34,Accounting/Banking/Finance,Corporate Actions Analyst,70000.0,USD,USA,Illinois,Chicago,2 - 4 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Woman,White
35-44,Art/Design/Media,"Associate Director, Production Design",57000.0,USD,USA,North Carolina,Greensboro,11 - 20 years,11 - 20 years,College degree,Woman,White
55-64,Education,Special Education Teacher,72000.0,USD,USA,Pennsylvania,philadelphia,11 - 20 years,11 - 20 years,Master's degree,Woman,Middle Eastern or Northern African
25-34,Business/Consulting/Administrative Work,Account Supervisor,72500.0,USD,USA,North Carolina,Fayetteville,8 - 10 years,8 - 10 years,College degree,Woman,White
35-44,Education,English teacher & college counselor,52000.0,USD,USA,Missouri,St. Louis,11 - 20 years,8 - 10 years,Master's degree,Woman,White
45-54,Education,"Director, Health Sciences Library",110000.0,USD,USA,Arizona,Tucson,21 - 30 years,21 - 30 years,Master's degree,Woman,White
55-64,Computing/IT/Tech,VP Legal,240000.0,USD,USA,Massachusetts,Lexington,31 - 40 years,31 - 40 years,"Professional degree (MD, JD, etc.)",Woman,White
45-54,Nonprofits,Director of Finance and Administration,100000.0,USD,USA,New York,New York City,21 - 30 years,11 - 20 years,Master's degree,Other or prefer not to answer,Another option not listed here or prefer not to answer
25-34,Computing/IT/Tech,Senior Product Manager,159120.0,USD,USA,Georgia,Atlanta,11 - 20 years,8 - 10 years,College degree,Woman,White
35-44,Medical/Health Care,Pharmacy Reimbursement Analyst,51979.0,USD,USA,Minnesota,Minneapolis,21 - 30 years,8 - 10 years,Master's degree,Woman,White
25-34,Business/Consulting/Administrative Work,Human Resources Analyst 1,31422.0,USD,USA,Georgia,Reidsville,5 - 7 years,2 - 4 years,College degree,Woman,White
25-34,Business/Consulting/Administrative Work,Email Marketing Specialist,57000.0,USD,USA,Indiana,Indianapolis,2 - 4 years,2 - 4 years,College degree,Woman,White
45-54,Nonprofits,Director of Operations,115000.0,USD,USA,District of Columbia,"Washington, DC",11 - 20 years,11 - 20 years,Master's degree,Other or prefer not to answer,Another option not listed here or prefer not to answer
25-34,Government/Public Administration,Unemployment Benefits Specialist,42827.0,USD,USA,Wisconsin,Milwaukee,5 - 7 years,1 year or less,College degree,Woman,White
45-54,Business/Consulting/Administrative Work,Senior Consultant,92000.0,USD,USA,West Virginia,Charleston,21 - 30 years,21 - 30 years,PhD,Woman,White
25-34,Computing/IT/Tech,DevOps Analyst,63000.0,USD,USA,Massachusetts,Boston,2 - 4 years,2 - 4 years,College degree,Woman,White
25-34,Education,Development Officer,73500.0,USD,USA,Washington,Tacoma,5 - 7 years,5 - 7 years,College degree,Woman,White
35-44,Insurance,Underwriter,108000.0,USD,USA,California,San Francisco,11 - 20 years,5 - 7 years,College degree,Woman,White
35-44,Education,Research Administrator,60000.0,USD,USA,North Carolina,Durham,11 - 20 years,8 - 10 years,Master's degree,Woman,White
35-44,Nonprofits,Vice President of Programs,73000.0,USD,USA,Illinois,Rockford,11 - 20 years,5 - 7 years,Master's degree,Woman,White
25-34,Nonprofits,Senior Data Manager,110000.0,USD,USA,New York,New York City,11 - 20 years,8 - 10 years,College degree,Woman,White
35-44,Accounting/Banking/Finance,Senior Fraud Investigations Officer ,86000.0,USD,USA,Michigan,Metro Detroit ,11 - 20 years,11 - 20 years,College degree,Man,White
35-44,Nonprofits,Supervisor,60000.0,USD,USA,California,Los Angeles,11 - 20 years,11 - 20 years,Master's degree,Woman,Asian or Asian American
35-44,Business/Consulting/Administrative Work,Creative Copywriter,70000.0,USD,USA,Illinois,Downers Grove,11 - 20 years,11 - 20 years,College degree,Woman,White
35-44,Education,Research and Teaching Librarian,76000.0,USD,USA,Maryland,Rockville,11 - 20 years,11 - 20 years,Master's degree,Woman,White
25-34,Sales,Sales operations manager,116000.0,USD,USA,Colorado,Denver,8 - 10 years,8 - 10 years,Master's degree,Woman,Black or African American
35-44,Business/Consulting/Administrative Work,Project Manager ,72100.0,USD,USA,Colorado,Denver,11 - 20 years,5 - 7 years,College degree,Woman,White
25-34,Business/Consulting/Administrative Work,Content and Project Specialist,38000.0,USD,USA,New Jersey,Fairfield,2 - 4 years,2 - 4 years,College degree,Woman,White
35-44,Education,Director of Marketing,167000.0,USD,USA,Illinois,Chicago,11 - 20 years,11 - 20 years,College degree,Woman,White
35-44,Insurance,Claims Supervisor,82000.0,USD,USA,Indiana,Indianapolis,21 - 30 years,11 - 20 years,College degree,Woman,White
25-34,Medical/Health Care,System Director of Quality,150000.0,USD,USA,New York,New York City,8 - 10 years,5 - 7 years,Master's degree,Woman,White
35-44,Medical/Health Care,Practice Administrator,62400.0,USD,USA,Washington,Seattle,11 - 20 years,5 - 7 years,College degree,Woman,White
25-34,Others/Not Correctly Specified,Editor,39600.0,USD,USA,Massachusetts,Salem,2 - 4 years,2 - 4 years,Master's degree,Woman,White
45-54,Computing/IT/Tech,Director of Trust and Safety,116000.0,USD,USA,Illinois,An exact answer would out me,21 - 30 years,8 - 10 years,College degree,Woman,White
35-44,Government/Public Administration,Business Librarian,43560.0,USD,USA,South Carolina,Charleston,5 - 7 years,2 - 4 years,Master's degree,Woman,White
45-54,Transport/Logistics,Director of Risk Management,144000.0,USD,USA,Florida,Miami,21 - 30 years,21 - 30 years,College degree,Woman,White
25-34,Education,Assistant Director of Admission,50000.0,USD,USA,Pennsylvania,Pittsburgh,5 - 7 years,5 - 7 years,Master's degree,Woman,Black or African American
35-44,Engineering/Manufacturing/Construction,Technical Writer,80000.0,USD,USA,Pennsylvania,Harrisburg,11 - 20 years,11 - 20 years,Master's degree,Woman,White
25-34,Others/Not Correctly Specified,Transcription Coordinator,38000.0,USD,USA,Texas,Houston,11 - 20 years,2 - 4 years,College degree,Man,White
25-34,Law,Paralegal ,48000.0,USD,USA,Oregon,Portland,5 - 7 years,2 - 4 years,College degree,Woman,White
35-44,Education,Literature Teacher,96000.0,USD,USA,New York,New York City,11 - 20 years,11 - 20 years,Master's degree,Man,White
45-54,Computing/IT/Tech,Product Manager,89000.0,USD,USA,Wisconsin,Madison,21 - 30 years,5 - 7 years,College degree,Woman,White
25-34,Government/Public Administration,Transportation Planning Associate,99000.0,USD,USA,California,Los Angeles,5 - 7 years,2 - 4 years,Master's degree,Man,White
45-54,Hospitality/Events/Entertainment,Librarian,105000.0,USD,USA,California,Los Angeles,21 - 30 years,11 - 20 years,Master's degree,Woman,White
25-34,Education,Director of Alumni Relations,76500.0,USD,USA,Illinois,Chicago,8 - 10 years,5 - 7 years,"Professional degree (MD, JD, etc.)",Woman,White
45-54,Computing/IT/Tech,Tech Lead,88000.0,USD,USA,Wisconsin,Madison,21 - 30 years,21 - 30 years,PhD,Man,White
25-34,Art/Design/Media,Graphic Designer,40000.0,USD,USA,Colorado,Denver,11 - 20 years,5 - 7 years,College degree,Non-binary,White
35-44,Government/Public Administration,Research,125000.0,USD,USA,District of Columbia,"Washington, DC",11 - 20 years,11 - 20 years,PhD,Woman,Asian or Asian American
35-44,Education,Assistant Director of Special Events,76000.0,USD,USA,Maryland,College Park,11 - 20 years,5 - 7 years,Master's degree,Woman,White
55-64,Leisure/Sport/Tourism,Director New Partnerships,165000.0,USD,USA,New York,New York City,21 - 30 years,21 - 30 years,College degree,Woman,White
25-34,Education,Project Coordinator,62000.0,USD,USA,Minnesota,St. Paul,5 - 7 years,2 - 4 years,College degree,Woman,White
35-44,Biotechnology/Pharma/Biology,Investigator,106000.0,USD,USA,Pennsylvania,Collegeville,11 - 20 years,11 - 20 years,Master's degree,Woman,Asian or Asian American
45-54,Computing/IT/Tech,Implementation Specialist,91000.0,USD,USA,Minnesota,Mankato,21 - 30 years,2 - 4 years,College degree,Woman,White
